date,shift,machineName,sizeCode,startTime,endTime,scheduleQuantity,remarks,runTime,changeOverStartTime,changeOverEndTime,availableMoulds,runningMoulds,roundsPerMould,curingPotential,ctb,gtInventory,coverage,curingScheduleQuantity,description,machineId,createdAt,createdBy
2026-04-13,B,4801,1225219Z15008SXC11,2026-04-13 15:00:00,2026-04-13 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-13,C,4801,1225219Z15008SXC11,2026-04-13 23:00:00,2026-04-14 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-14,A,4801,1225219Z15008SXC11,2026-04-14 07:00:00,2026-04-14 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-14,B,4801,1225219Z15008SXC11,2026-04-14 15:00:00,2026-04-14 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-14,C,4801,1225219Z15008SXC11,2026-04-14 23:00:00,2026-04-15 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-15,A,4801,1225219Z15008SXC11,2026-04-15 07:00:00,2026-04-15 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-15,B,4801,1225219Z15008SXC11,2026-04-15 15:00:00,2026-04-15 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-15,C,4801,1225219Z15008SXC11,2026-04-15 23:00:00,2026-04-16 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-16,A,4801,1225219Z15008SXC11,2026-04-16 07:00:00,2026-04-16 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-16,B,4801,1225219Z15008SXC11,2026-04-16 15:00:00,2026-04-16 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
