product_code,line_class,build_cycle_sec,source
1325220316091VURL0,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220316091VUX10,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220316094VUX10,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220416092HRHT0,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220416092HENX0,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220416092HURL0,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220416092VVEC0,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220416092HBHT0,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220416092VURL0,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220516095HETR0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325220516095HURL1,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220516095HURL2,PCR,66.78,GTCT TBR PCR 1.xlsx
1325220516095HTMX0,PCR,65.72,GTCT TBR PCR 1.xlsx
1325221416095VURL0,PCR,65.72,GTCT TBR PCR 1.xlsx
1325220516095HUTR0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325221516098HENX0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325221516098HRHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325221516098HBHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325221516098HURL0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325221716101TRHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325221716101TBHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325222416098VURL0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325223516103TURL0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325223616105HRHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325223616105HBHT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325223616105TRAT0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325223616105TRAT1,PCR,73.14,GTCT TBR PCR 1.xlsx
1325223616109SELZ0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325223616105SELN0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325224716111SELSE,PCR,73.14,GTCT TBR PCR 1.xlsx
